socia,1,0.000000,11,13;
sarah,1,0.000000,12,13;
foram,2,0.000000,10,13;
condenados,1,0.000000,11,13;
a,2,0.000000,10,13;
um,2,0.000000,7,13;
ano,2,0.000000,11,13;
reclusao,1,0.000000,11,13;
enquanto,2,0.000000,6,13;
os,2,0.000000,8,13;
pais,1,0.000000,7,13;
linda,1,0.000000,7,13;
70,1,0.000000,11,13;
anos,1,0.000000,11,13;
e,2,0.000000,7,13;
72,1,0.000000,12,13;
anos,2,0.000000,12,13;
receberam,1,0.000000,12,13;
penas,1,0.000000,6,13;
nove,1,0.000000,6,13;
meses,1,0.000000,10,13;
prisao,2,0.000000,6,13;
com,2,0.000000,10,13;
16,1,0.000000,7,13;
vitorias,2,0.000000,5,13;
e,2,0.000000,7,13;
cinco,1,0.000000,8,13;
derrotas,1,0.000000,8,13;
na,2,0.000000,9,13;
carreira,2,0.000000,8,13;
30,1,0.000000,12,13;
anos,2,0.000000,12,13;
idade,1,0.000000,11,13;
lutou,1,0.000000,8,13;
seis,1,0.000000,13,14;
vezes,1,0.000000,6,14;
no,2,0.000000,6,14;
ufc,2,0.000000,4,14;
somando,1,0.000000,12,14;
duas,2,0.000000,2,14;
vitorias,2,0.000000,5,14;
e,2,0.000000,7,14;
quatro,2,0.000000,7,14;
derrotas,2,0.000000,9,14;
entre,2,0.000000,9,14;
2010,1,0.000000,8,14;
e,2,0.000000,7,14;
2013,1,0.000000,9,14;
o,2,0.000000,1,14;
ministro,1,0.000000,11,14;
aposentado,1,0.000000,11,14;
ayres,1,0.000000,10,14;
britto,1,0.000000,10,14;
ex,2,0.000000,7,14;
presidente,1,0.000000,5,14;
do,2,0.000000,4,14;
supremo,1,0.000000,11,14;
tribunal,1,0.000000,7,14;
federal,1,0.000000,8,14;
afirmou,1,0.000000,11,14;
nesta,2,0.000000,5,14;
sexta,1,0.000000,8,13;
feira,2,0.000000,6,13;
19,1,0.000000,8,13;
em,2,0.000000,6,13;
entrevista,1,0.000000,9,13;
a,2,0.000000,10,13;
globonews,1,0.000000,8,13;
que,2,0.000000,5,13;
se,2,0.000000,11,13;
a,2,0.000000,10,13;
procuradoria,1,0.000000,7,13;
geral,1,0.000000,8,13;
da,2,0.000000,8,13;
republica,1,0.000000,12,13;
nao,1,0.000000,10,13;
oferecer,1,0.000000,6,13;
denuncia,1,0.000000,9,13;
o,2,0.000000,1,13;
inquerito,1,0.000000,12,13;
instaurado,1,0.000000,13,14;
para,2,0.000000,4,14;
apurar,1,0.000000,12,14;
ofensas,1,0.000000,7,14;
e,2,0.000000,7,14;
ameacas,1,0.000000,11,14;
a,2,0.000000,10,14;
integrantes,1,0.000000,14,15;
do,2,0.000000,4,15;
stf,1,0.000000,13,15;
tem,1,0.000000,9,15;
ser,2,0.000000,11,15;
arquivado,1,0.000000,13,15;
veja,1,0.000000,8,15;
no,2,0.000000,6,15;
video,1,0.000000,8,15;
acima,1,0.000000,11,15;
a,2,0.000000,10,15;
partir,1,0.000000,5,15;
acordo,1,0.000000,12,15;
com,2,0.000000,10,15;
ayres,2,0.000000,11,15;
britto,2,0.000000,11,15;
promover,1,0.000000,9,15;
acao,1,0.000000,12,15;
penal,1,0.000000,7,15;
e,2,0.000000,7,15;
competencia,1,0.000000,9,15;
privativa,1,0.000000,8,15;
do,2,0.000000,4,15;
ministerio,1,0.000000,12,15;
publico,1,0.000000,8,15;
e,2,0.000000,7,15;
nao,2,0.000000,11,15;
se,2,0.000000,11,15;
pode,1,0.000000,9,15;
obrigar,1,0.000000,5,15;
o,2,0.000000,1,15;
ministerio,2,0.000000,13,15;
publico,2,0.000000,9,15;
a,2,0.000000,10,15;
denunciar,1,0.000000,10,15;
a,2,0.000000,10,15;
polemica,1,0.000000,10,15;
acerca,1,0.000000,13,15;
do,2,0.000000,4,15;
inquerito,2,0.000000,13,15;
foi,2,0.000000,9,15;
motivada,1,0.000000,10,15;
pelo,2,0.000000,3,15;
fato,1,0.000000,8,15;
o,2,0.000000,1,15;
procedimento,1,0.000000,9,15;
ter,1,0.000000,10,15;
sido,1,0.000000,11,15;
aberto,1,0.000000,10,15;
oficio,1,0.000000,7,15;
pelo,2,0.000000,3,15;
presidente,2,0.000000,6,15;
do,2,0.000000,4,15;
stf,2,0.000000,13,15;
dias,1,0.000000,6,15;
toffoli,1,0.000000,10,15;
com,2,0.000000,10,15;
base,1,0.000000,10,15;
no,2,0.000000,6,15;
inquerito,2,0.000000,13,15;
o,2,0.000000,1,15;
relator,1,0.000000,13,15;
escolhido,1,0.000000,10,15;
por,2,0.000000,6,15;
toffoli,2,0.000000,11,15;
ministro,2,0.000000,10,15;
alexandre,1,0.000000,11,15;
moraes,1,0.000000,12,15;
determinou,1,0.000000,8,15;
buscas,1,0.000000,7,15;
e,2,0.000000,7,15;
nas,2,0.000000,10,15;
residencias,1,0.000000,13,15;
dos,2,0.000000,7,15;
apontados,1,0.000000,11,15;
como,1,0.000000,10,15;
autores,1,0.000000,11,15;
das,1,0.000000,9,15;
ofensas,2,0.000000,8,15;
e,2,0.000000,7,15;
ameacas,2,0.000000,12,15;
e,2,0.000000,7,15;
os,2,0.000000,7,15;
sites,1,0.000000,12,15;
o,2,0.000000,1,15;
antagonista,1,0.000000,12,15;
e,2,0.000000,7,15;
da,2,0.000000,8,15;
revista,1,0.000000,11,15;
nesta,2,0.000000,5,15;
quinta,1,0.000000,11,15;
ele,1,0.000000,10,15;
revogou,1,0.000000,13,15;
a,2,0.000000,11,15;
censura,1,0.000000,9,15;
para,2,0.000000,4,15;
o,2,0.000000,1,15;
ex,2,0.000000,7,15;
presidente,2,0.000000,6,15;
do,2,0.000000,4,15;
stf,2,0.000000,13,15;
a,2,0.000000,11,15;
procuradora,1,0.000000,10,15;
geral,2,0.000000,9,15;
da,2,0.000000,8,15;
republica,2,0.000000,11,15;
raquel,1,0.000000,11,15;
dodge,1,0.000000,5,15;
nao,2,0.000000,11,15;
pode,2,0.000000,10,15;
ser,2,0.000000,11,15;
obrigada,1,0.000000,7,15;
a,2,0.000000,11,15;
promover,2,0.000000,10,15;
a,2,0.000000,11,15;
acao,2,0.000000,13,15;
penal,2,0.000000,8,15;
se,2,0.000000,11,15;
assim,1,0.000000,13,15;
concluir,1,0.000000,11,15;
o,2,0.000000,1,15;
inquerito,2,0.000000,13,15;
entre,2,0.000000,9,15;
aspas,1,0.000000,14,15;
no,2,0.000000,6,15;
supremo,2,0.000000,12,15;
tribunal,2,0.000000,8,15;
federal,2,0.000000,9,15;
ai,1,0.000000,12,15;
o,2,0.000000,1,15;
que,2,0.000000,5,15;
vai,1,0.000000,6,15;
fazer,1,0.000000,9,15;
o,2,0.000000,1,15;
supremo,2,0.000000,12,15;
se,2,0.000000,11,15;
acatar,1,0.000000,14,15;
a,2,0.000000,11,15;
manifestacao,1,0.000000,8,15;
final,1,0.000000,9,15;
do,2,0.000000,4,15;
ministerio,2,0.000000,12,15;
publico,2,0.000000,9,15;
dodge,2,0.000000,7,15;
chegou,1,0.000000,7,15;
a,2,0.000000,11,15;
enviar,1,0.000000,11,15;
um,2,0.000000,7,15;
documento,1,0.000000,7,15;
para,2,0.000000,4,15;
o,2,0.000000,1,15;
supremo,2,0.000000,12,15;
